navigation;modèle-imprimante;;imprimante;;Label;;;;ref-constructeur;prix;capacité;ID_printer;ID_product
Xerox;Xerox  WorkCentre;;WorkCentre 4250 V S;;ORIGINAL Xerox 106R01409 - Toner noir;;;;106 R 01409;null;25000;15840;5830
Canon;Canon  i-SENSYS;;i-SENSYS MF 6140 dn;;COMPATIBLE Canon 3479B002 / 719 - Toner noir;;;;719;null;3479 B 002;2072;4810
OKI;OKI  ES;;ES 8451 CDTN;;ORIGINAL OKI 44059260 - Toner noir;;;;44059260;null;9000;6782;5061
Canon;Canon  Pixma;;Pixma G 6040;;ORIGINAL Canon 3385C001 / GI-40 PGBK - Cartouche d'encre noire;;;;GI-40 PGBK;null;3385 C 001;2073;4811
Canon;Canon  W;;W 8200 D;;COMPATIBLE Canon 7574A001 / BCI-1411 BK - Cartouche d'encre noire;;;;BCI-1411 BK;null;7574 A 001;2074;4812
Casio;Casio  FR;;FR 2200 Series;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;6189;4873
Utax;Utax  CD;;CD 5000 Series;;ORIGINAL Utax 613011010 - Toner noir;;;;613 011 010;null;15000;15425;5753
C.Itoh;C.Itoh  CI;;CI 300 Plus;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;2016;4682
Canon;Canon  Pixma;;Pixma IP 6100 D;;COMPATIBLE Canon 4705A002 / BCI-6 BK - Cartouche d'encre noire;;;;BCI-6 BK;null;4705 A 002;2075;4813
Canon;Canon  IR;;IR Advance C 5255;;ORIGINAL Canon 2777B003 / C-EXV 28 - Kit tambour;;;;C-EXV 28;null;2777 B 003;2076;4814
Toshiba;Toshiba  E-Studio;;E-Studio 7516 Series;;ORIGINAL Toshiba 6AK00000372 / T-FC 616 EK - Toner noir;;;;T-FC 616 EK;null;6AK00000372;14666;5647
Ricoh;Ricoh  Aficio MP C;;Aficio MP C 4502 A;;Ricoh Toner MP C5502 Noir (842020) (Alt: 841683, 841755);;;;TYPE 5502 E;null;841683;10143;5313
Brother;Brother  P-Touch;;P-Touch H 500 Series;;COMPATIBLE Brother TZE243 - P-Touch Ruban;;;;TZE-243;null;Non;179;4720
Rex Rotary;Rex Rotary  CS;;CS 555;;null;;;;null;null;null;9979;#N/A
Brother;Brother  Intellifax;;Intellifax 1860 C;;PACK de 5 COMPATIBLES Brother LC1000;;;;LC-1000 VAL BP;null;Non;180;4721
Sharp;Sharp  H;;H 1750;;ORIGINAL Epson C43S015426 / ERC-11-B - Ruban nylon noir;;;;ERC-11-B;null;C 43 S0 15426;13116;5555
Triumph-Adler;Triumph-Adler  TA;;TA 2525;;ORIGINAL Kyocera 37058010 - Toner noir;;;;37058010;null;6800;15100;4685
Citizen;Citizen  DP;;DP 614;;ORIGINAL Citizen 3000098 / IR 61 B - Ruban nylon noir;;;;IR 61 B;null;3000098;6420;5017
Canon;Canon  BP;;BP 26 LTS;;ORIGINAL HP 51604A - Tête d'impression noire;;;;51604 A;null;500;2077;4815
Citizen;Citizen  DP;;DP 575 R;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6421;4684
Samsung;Samsung  MultiXpress;;MultiXpress C 9352 NA;;ORIGINAL HP SS660A / CLT-R607K - Kit tambour;;;;CLT-R607K;null;SS 660 A;11827;5474
Canon;Canon  CP;;CP 1230;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;2078;4684
Canon;Canon  i-SENSYS;;i-SENSYS MF 525 x;;COMPATIBLE Canon 0453C002 / 041H - Toner noir;;;;041H;null;0453 C 002;2079;4816
Ricoh;Ricoh  Aficio MP;;Aficio MP 5001 spf;;ORIGINAL Ricoh B2969640 / TYPE 4500 - Développeur;;;;TYPE 4500;null;B2969640;10144;5305
Canon;Canon  IR;;IR Advance 6255 i;;ORIGINAL Canon 3766B002 / C-EXV 36 - Toner noir;;;;C-EXV 36;null;3766 B 002;2080;4817
Xerox;Xerox  CopyCentre;;CopyCentre C 32;;ORIGINAL Xerox 006R01122 - Toner noir;;;;006 R 01122;null;26000;15841;5831
Ricoh;Ricoh  Aficio MP C;;Aficio MP C 2500 e 1;;COMPATIBLE Ricoh 842033 / DT3000C - Toner cyan;;;;DT3000C;null;842033;10145;4970
OKI;OKI  C;;C 801 DN;;COMPATIBLE OKI 44643004 - Toner noir;;;;44643004;null;7000;6783;5062
Canon;Canon  i-SENSYS;;i-SENSYS MF 4570 dw;;COMPATIBLE Canon 3500B002 / 728 - Toner noir;;;;728;null;3500 B 002;2081;4806
Utax;Utax  Starwriter;;Starwriter 85;;null;;;;null;null;null;2498;#N/A
Xerox;Xerox  ColorQube;;ColorQube 9303 AF;;ORIGINAL Xerox 108R00832 - Encre solide en Color-Stix;;;;108 R 00832;null;10000;15842;5832
Savin;Savin  Savinfax;;Savinfax 3615 C;;Pack de 10 Cartouches COMPATIBLES CANON (5xBCI21BK/24BK + 5xBCI21CL/24CL);;;;NC-00024BK/21BK;null;BCI21/BCI24;12983;4801
Samsung;Samsung  SCX;;SCX-4729 Series;;COMPATIBLE Samsung MLTD103LELS / 103L - Toner noir;;;;103L;null;MLT-D 103 L/ELS;11828;5475
Canon;Canon  imageRUNNER;;imageRUNNER 7000 Series;;ORIGINAL Canon 0387B002 / C-EXV 15 - Toner noir;;;;C-EXV 15;null;0387 B 002;2082;4818
Ricoh;Ricoh  Aficio SP;;Aficio SP 5200 sht;;COMPATIBLE Ricoh 406685 - Toner noir;;;;406685;null;25000;10146;5314
Xerox;Xerox  Phaser;;Phaser EX 7750;;ORIGINAL Xerox 106R00652 - Toner noir;;;;106 R 00652;null;32000;15843;5833
Sharp;Sharp  ER;;ER 3210;;null;;;;null;null;null;13117;#N/A
Sharp;Sharp  AJ;;AJ-6020;;ORIGINAL Sharp AJH20B - Tête d'impression noire;;;;AJ-H 20 B;null;10000;13118;5560
Panasonic;Panasonic  KX-E;;KX-E 7000 CB 5;;null;;;;null;null;null;8910;#N/A
Casio;Casio  FR;;FR 2215 C;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;6190;4873
Xerox;Xerox  Phaser;;Phaser 6125 Series;;COMPATIBLE Xerox 106R01334 - Toner noir;;;;106 R 01334;null;2000;15844;5834
Canon;Canon  i-SENSYS;;i-SENSYS MF 4150;;COMPATIBLE Canon 0263B002 / FX-10 - Toner noir;;;;FX-10;null;0263 B 002;2083;4819
Canon;Canon  CP;;CP 1008;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;2084;4684
OKI;OKI  C;;C 910 dn;;null;;;;null;null;null;6784;#N/A
Canon;Canon  imagePROGRAF IPF;;imagePROGRAF IPF 605;;COMPATIBLE Canon 0895B001 / PFI-102 BK - Cartouche d'encre noire;;;;PFI-102 BK;null;0895 B 001;2085;4820
OKI;OKI  B;;B 4500 N;;COMPATIBLE OKI 01103402 / TYPE9 - Toner noir;;;;TYPE9;null;1103402;6785;5063
Sharp;Sharp  CS;;CS 4155;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13119;4684
Canon;Canon  BJC;;BJC 6100;;COMPATIBLE Canon 4479A002 / BCI-3 EBK - Cartouche d'encre noire;;;;BCI-3 EBK;null;4479 A 002;2086;4821
Canon;Canon  Starwriter;;Starwriter 80;;COMPATIBLE Canon 0881A002 / BC-02 - Tête d'impression noire;;;;BC-02;null;0881 A 002;2087;4706
Samsung;Samsung  ML;;ML-2010 L;;COMPATIBLE Samsung ML2010D3ELS - Toner noir;;;;ML-2010 D3/ELS;null;3000;11829;5476
Ricoh;Ricoh  Aficio SP;;Aficio SP 377 SFNwX;;COMPATIBLE Ricoh 408162 / TYPE SP 377 XE - Toner noir;;;;TYPE SP 377 XE;null;408162;10147;5307
Canon;Canon  LBP;;LBP-1820;;COMPATIBLE HP C4129X / 29X - Toner noir;;;;29X;null;C 4129 X;2088;4822
Sharp;Sharp  MX;;MX-3560 N;;ORIGINAL Sharp MX60GVSA - Développeur;;;;MX-60 GVSA;null;Oui;13120;5561
Ricoh;Ricoh  Aficio Color;;Aficio Color 5106;;ORIGINAL Ricoh 887813 / TYPE F BK - Toner noir;;;;TYPE F BK;null;887813;10148;5293
Panasonic;Panasonic  KX-CL;;KX-CL 500 D;;ORIGINAL Panasonic KXCLFU1 - Unité de fusión;;;;KX-CLFU 1;null;100000;8911;5225
Canon;Canon  imageRUNNER;;imageRUNNER 1740 i;;ORIGINAL Canon 2787B002 / C-EXV 37 - Toner noir;;;;C-EXV 37;null;2787 B 002;2089;4823
OKI;OKI  Okifax;;Okifax 1000;;COMPATIBLE OKI 09002395 - Toner noir;;;;9002395;null;2500;6786;4713
Olivetti;Olivetti  JET-LAB;;JET-LAB 250 Series;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;7693;4691
Brother;Brother  DCP;;DCP-395 CN;;PACK de 5 COMPATIBLES Brother LC1100;;;;LC-1100 VAL BP;null;Non;181;4722
Ricoh;Ricoh  Sp;;SP 311 SFNw;;COMPATIBLE Ricoh 407246 / TYPE SP 311 HE - Toner noir;;;;TYPE SP 311 HE;null;407246;10149;5315
Samsung;Samsung  CLP;;CLP-680 DW;;COMPATIBLE Samsung CLTK506LELS / K506L - Toner noir;;;;K506L;null;CLT-K 506 L/ELS;11830;5477
Sharp;Sharp  AL;;AL-1553 SG;;ORIGINAL Sharp AL110DC - Toner noir;;;;AL-110 DC;null;4000;13121;5562
Citizen;Citizen  IDP;;IDP 3530 P;;ORIGINAL Citizen 3000098 / IR 61 B - Ruban nylon noir;;;;IR 61 B;null;3000098;6422;5017
Panasonic;Panasonic  Panafax;;Panafax UF-590;;COMPATIBLE Panasonic UG3350 - Toner noir;;;;UG-3350;null;7500;8912;5226
Xerox;Xerox  Docuprint;;Docuprint 390;;ORIGINAL Xerox 006R90225 - Divers;;;;006 R 90225;null;30000;15845;5835
Olivetti;Olivetti  OFX;;OFX 575;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;7694;4691
OKI;OKI  C;;C 9200 Series;;COMPATIBLE OKI 41515210 - Toner magenta;;;;41515210;null;15000;6787;5064
Canon;Canon  Laser Class;;Laser Class 2060;;COMPATIBLE Canon 1557A003 / FX-3 - Toner noir;;;;FX-3;null;1557 A 003;2090;4824
Brother;Brother  MFC;;MFC-1150;;COMPATIBLE Brother PC102RF - Rouleau transfert thermique;;;;KB-PC102RF;null;700;182;4715
Tally Genicom;Tally Genicom  T;;T 8008 N;;ORIGINAL Brother FP4CL - Unité de fusión;;;;FP-4 CL;null;60000;14374;5631
Compaq;Compaq  LG;;LG 15 Plus;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;6624;4682
Canon;Canon  Pixma;;Pixma MX 884;;ORIGINAL Canon QY60080 - Tête d'impression;;;;QY6-0080;null;Oui;2091;4825
Sharp;Sharp  AR;;AR-164;;ORIGINAL Sharp AR202LT - Toner noir;;;;AR-202 LT;null;16000;13122;5563
Brother;Brother  MFC;;MFC-760;;null;;;;null;null;null;183;#N/A
Canon;Canon  Color imageCLASS;;Color ImageClass MF 8170 c;;COMPATIBLE Canon 7433A003 / EP-87 BK - Toner noir;;;;EP-87 BK;null;7433 A 003;2092;4826
Canon;Canon  i-SENSYS;;i-SENSYS MF 8200 Series;;COMPATIBLE Canon 6273B002 / 731H - Toner noir;;;;731H;null;6273 B 002;2093;4827
Toshiba;Toshiba  E-Studio;;E-Studio 7506 ACT;;ORIGINAL Toshiba 6AK00000354 / T-FC 556 EK - Toner noir;;;;T-FC 556 EK;null;6AK00000354;14667;5648
Sharp;Sharp  EA;;EA 710 R;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13123;4684
Xerox;Xerox  Phaser;;Phaser 3100 MFP;;COMPATIBLE Xerox 106R01379 - Toner noir;;;;106 R 01379;null;4000;15846;5836
OKI;OKI  Microline;;Microline 5520 eco;;null;;;;null;null;null;6788;#N/A
OKI;OKI  C;;C 9500 GA XF;;COMPATIBLE OKI 41963608 - Toner noir;;;;41963608;null;15000;6789;5065
Canon;Canon  Fax B;;Fax B 60;;COMPATIBLE Canon 0881A002 / BC-02 - Tête d'impression noire;;;;BC-02;null;0881 A 002;2094;4706
Tally Genicom;Tally Genicom  LN;;LN 21 N;;ORIGINAL Xerox 108R00329 - Unité de fusión;;;;108 R 00329;null;200000;14375;5024
Panasonic;Panasonic  FP;;FP 7750;;ORIGINAL Panasonic FQZK20 - Développeur;;;;FQ-ZK 20;null;120000;8913;5227
Canon;Canon  imageCLASS D;;imageCLASS D 780 Series;;COMPATIBLE Canon 6812A002 / CARTRIDGE M - Toner noir;;;;CARTRIDGE M;null;6812 A 002;2095;4828
Sharp;Sharp  CS;;CS 1154-13;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13124;4684
Xerox;Xerox  VersaLink;;VersaLink B 610 Series;;COMPATIBLE Xerox 106R03942 - Toner noir;;;;106 R 03942;null;25900;15847;5837
Canon;Canon  PC;;PC 775;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;2096;4829
Brother;Brother  HL;;HL-5450 D;;COMPATIBLE Brother DR3300 - Kit tambour;;;;DR-3300;null;30000;184;4723
Toshiba;Toshiba  E-Studio;;E-Studio 478 P;;ORIGINAL Toshiba 6B000000855 / T-478P-R - Toner noir;;;;T-478P-R;null;6B000000855;14668;5649
OKI;OKI  ES;;ES 5462 DN;;COMPATIBLE OKI 44973512 - Toner noir;;;;44973512;null;7000;6790;5066
Xerox;Xerox  WorkCentre;;WorkCentre 6400;;ORIGINAL Xerox 106R01316 - Toner noir;;;;106 R 01316;null;12000;15848;5838
Wincor-Nixdorf;Wincor-Nixdorf  Beetle;;Beetle 20/2;;COMPATIBLE Epson C43S015371 / ERC-32-B - Ruban nylon noir;;;;ERC-32-B;null;C 43 S0 15371;15700;5014
Brother;Brother  HL;;HL-1220;;COMPATIBLE Brother TN6600 - Toner noir;;;;TN-6600;null;6000;185;4724
Xerox;Xerox  WC;;WC 7235 FX;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;15849;5839
Canon;Canon  imageCLASS;;imageCLASS 2250;;COMPATIBLE HP C4129X / 29X - Toner noir;;;;29X;null;C 4129 X;2097;4822
